subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
36,0.000327,90.77,92.86,88.59,97.55,88.75,0.00027,94.41,95.75,93.04,98.62,92.8,0.002424,0.7755,0.8308,0.7297,0.9643,0.7440000000000001,kalman_dual
37,0.000391,88.52,91.16,86.12,96.82,86.13,0.000248,95.0,96.2,93.48,99.08,93.44,0.000794,0.8092,0.8768,0.7807,1.0,0.7023999999999999,kalman_dual
38,0.000344,90.54,92.71,88.43,97.42,88.43,0.000346,91.47,93.63,89.5,98.16,88.92,0.001734,0.6561,0.7158,0.6602,0.7816,0.6408,kalman_dual
43,0.000263,92.61,94.19,90.69,97.98,91.07,0.000316,92.06,94.01,90.6,97.7,89.9,0.000491,0.8687,0.9116,0.8590000000000001,0.971,0.8022,kalman_dual
44,0.000313,91.26,93.26,89.54,97.3,89.32,0.00035,94.41,95.69,94.2,97.24,93.33,0.000568,0.8543000000000001,0.8702,0.8267,0.9185,0.85,kalman_dual
45,0.000236,93.19,94.55,91.07,98.31,91.9,0.000194,97.65,98.16,98.16,98.16,97.45,2e-06,1.0,1.0,1.0,1.0,1.0,kalman_dual
46,0.000309,90.47,92.81,88.43,97.65,87.96,0.000339,95.0,96.16,94.25,98.16,93.79,0.00043,0.83,0.8068000000000001,0.7172,0.9220999999999999,0.8472,kalman_dual
49,0.000291,91.42,93.34,89.66,97.33,89.61,0.000282,94.12,95.58,91.91,99.54,92.05,0.001106,0.7698,0.8242,0.7075,0.9868000000000001,0.7474,kalman_dual
50,0.000229,93.27,94.73,91.46,98.25,91.76,0.000179,95.88,96.85,94.71,99.08,94.66,9.7e-05,0.9727,0.9764,0.9538,1.0,0.9688,kalman_dual
51,0.000309,90.49,92.65,88.23,97.54,88.38,0.000312,95.29,96.33,95.89,96.77,94.73,0.001274,0.8136,0.8308,0.871,0.7940999999999999,0.8170999999999999,kalman_dual
52,0.000295,91.24,93.19,89.84,96.79,89.52,0.000179,96.18,97.08,94.74,99.54,94.89,0.00075,0.8889,0.8961,0.8734000000000001,0.92,0.8875,kalman_dual
53,0.000283,91.1,93.09,89.1,97.46,89.21,0.000255,95.29,96.36,95.07,97.7,94.38,0.000851,0.8911,0.9076000000000001,0.9153,0.9,0.889,kalman_dual
54,0.000453,87.94,90.79,85.72,96.51,85.35,0.000188,95.29,96.4,94.27,98.62,94.02,0.000885,0.8012999999999999,0.8276,0.8276,0.8276,0.7966,kalman_dual
55,0.000317,90.5,92.54,88.64,96.79,88.75,0.000222,95.29,96.36,95.07,97.7,94.38,0.000646,0.9163,0.9390999999999999,0.9493,0.9290999999999999,0.9081,kalman_dual
56,0.000337,89.93,92.15,87.52,97.3,87.91,0.000259,92.94,94.69,91.06,98.62,90.77,0.000661,0.8729,0.9053,0.9821,0.8397,0.8998,kalman_dual
58,0.000318,90.9,92.95,88.69,97.63,88.92,0.000304,91.47,93.65,89.17,98.62,88.74,8.7e-05,1.0,1.0,1.0,1.0,1.0,kalman_dual
60,0.000299,90.43,92.64,88.25,97.48,88.25,0.000166,95.88,96.82,95.52,98.16,95.01,0.001563,0.8539,0.8602,0.8,0.9301999999999999,0.8564,kalman_dual
61,0.000291,92.41,94.04,90.89,97.41,90.91,0.000348,92.94,94.52,93.67,95.39,92.0,0.000904,0.7726999999999999,0.8387,0.7222,1.0,0.7222,kalman_dual
62,0.000349,89.72,91.96,87.44,96.98,87.77,0.000173,95.88,96.82,95.52,98.16,95.01,0.000617,0.9201999999999999,0.9469,0.9587,0.9355,0.9036,kalman_dual
63,0.000288,91.42,93.26,89.12,97.79,89.69,0.000185,95.29,96.41,93.89,99.08,93.85,0.000339,0.9358,0.9559000000000001,0.963,0.9489,0.9245,kalman_dual
