subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
52,0.000318,90.27,93.78,89.75,98.18,82.58,0.000355,90.46,94.01,90.6,97.7,82.18,0.000656,0.8434999999999999,0.8889,0.8276,0.96,0.7925,kalman_single
53,0.000285,91.98,94.79,91.43,98.41,85.94,0.000224,92.93,95.56,92.27,99.08,85.9,0.000896,0.875,0.9167000000000001,0.9167000000000001,0.9167000000000001,0.8332999999999999,kalman_single
54,0.000303,91.77,94.67,91.23,98.39,85.49,0.000529,89.4,93.33,90.13,96.77,80.96,0.000775,0.9091,0.9392,0.9043000000000001,0.977,0.8562000000000001,kalman_single
55,0.000321,91.2,94.24,90.85,97.9,85.21,0.000232,93.29,95.75,93.04,98.62,87.19,0.000293,0.9467,0.9682,0.9648,0.9716,0.8965000000000001,kalman_single
56,0.00031,89.96,93.56,88.89,98.73,81.98,0.000263,91.87,94.95,90.76,99.54,83.1,0.000491,0.9140999999999999,0.9449,0.9756,0.9159999999999999,0.9111,kalman_single
58,0.00031,90.72,94.01,89.84,98.6,83.47,0.000159,93.99,96.23,92.74,100.0,87.12,0.000101,0.9734999999999999,0.9838,0.9681000000000001,1.0,0.9318000000000001,kalman_single
60,0.000315,90.79,94.09,90.33,98.16,83.65,0.000276,92.93,95.54,92.64,98.62,86.43,0.001298,0.8451000000000001,0.8791,0.8332999999999999,0.9301999999999999,0.8223,kalman_single
61,0.000298,90.94,94.17,90.19,98.52,83.79,0.000203,92.93,95.56,92.27,99.08,85.9,0.001264,0.75,0.85,0.75,0.9808,0.5654,kalman_single
62,0.000377,88.59,92.69,87.56,98.46,79.86,0.000198,90.81,94.3,89.96,99.08,81.36,0.000243,0.993,0.996,0.992,1.0,0.9722,kalman_single
63,0.000373,88.93,92.87,88.33,97.9,80.84,0.000301,90.81,94.32,89.63,99.54,80.83,0.000267,0.9281,0.9571,0.9370999999999999,0.9781,0.8391,kalman_single
31,0.000375,87.3,92.04,86.63,98.18,76.57,0.000258,92.93,95.5,93.39,97.7,87.48,0.001172,0.6786,0.7429000000000001,0.5909,1.0,0.7,kalman_dual
34,0.000333,91.03,94.21,90.37,98.38,84.19,0.000219,95.41,97.04,95.95,98.16,92.26,0.000231,0.8889,0.9375,0.8824,1.0,0.6667000000000001,kalman_dual
36,0.000314,90.4,93.82,89.92,98.07,83.15,0.00018,94.7,96.61,94.69,98.62,90.22,0.001435,0.875,0.9179999999999999,0.8484999999999999,1.0,0.7917000000000001,kalman_dual
37,0.000352,89.63,93.3,89.2,97.79,82.18,0.00026,91.17,94.51,90.34,99.08,82.11,0.000437,0.8972,0.9412,0.898,0.9887999999999999,0.7166,kalman_dual
38,0.000325,90.48,93.86,90.19,97.85,83.46,0.000267,91.17,94.43,91.38,97.7,83.7,0.001371,0.6992,0.7956,0.7659999999999999,0.8276,0.6082,kalman_dual
43,0.00032,90.88,94.14,89.88,98.83,83.48,0.000268,93.29,95.73,93.42,98.16,87.71,0.000399,0.8652,0.92,0.8519,1.0,0.7,kalman_dual
44,0.000298,91.16,94.36,90.65,98.4,83.82,0.000361,91.87,94.81,92.92,96.77,86.27,0.000483,0.8592,0.8951,0.8477,0.9481,0.8266,kalman_dual
45,0.000351,89.56,93.2,88.99,97.82,82.44,0.000278,92.93,95.54,92.64,98.62,86.43,7e-06,1.0,1.0,1.0,1.0,1.0,kalman_dual
46,0.000356,89.33,93.33,88.76,98.4,79.59,0.000252,90.11,93.86,89.54,98.62,80.37,0.001083,0.6981,0.76,0.6179,0.987,0.7069,kalman_dual
49,0.00028,91.72,94.6,91.51,97.92,85.92,0.000317,91.52,94.74,90.38,99.54,82.35,0.001428,0.84,0.9048,0.8261,1.0,0.6667000000000001,kalman_dual
50,0.000329,89.77,93.45,89.24,98.09,81.84,0.000159,95.76,97.29,95.56,99.08,91.96,0.000473,0.9667,0.9764,0.9538,1.0,0.9464,kalman_dual
51,0.000283,90.69,94.03,89.74,98.75,83.16,0.000306,95.05,96.8,95.93,97.7,92.03,0.000732,0.8864,0.9254000000000001,0.9394,0.9118,0.8559,kalman_dual
52,0.000247,93.02,95.49,92.19,99.04,87.18,0.000153,94.35,96.41,93.89,99.08,88.93,0.000817,0.8348,0.8848,0.8111,0.9732999999999999,0.7742,kalman_dual
53,0.000324,90.52,93.89,89.99,98.15,83.37,0.000167,95.41,97.08,94.74,99.54,90.68,0.000536,0.875,0.9218999999999999,0.8676,0.9833,0.7667,kalman_dual
54,0.000285,91.61,94.57,91.04,98.39,85.17,0.000223,91.87,94.92,91.1,99.08,83.63,0.000405,0.8595,0.9101,0.8431000000000001,0.9884999999999999,0.759,kalman_dual
55,0.000227,93.85,95.95,93.12,98.95,89.29,0.000184,95.76,97.27,95.96,98.62,92.49,0.000344,0.9408,0.9643,0.9712000000000001,0.9573999999999999,0.9073,kalman_dual
56,0.000332,89.8,93.46,88.72,98.73,81.66,0.000263,89.05,93.33,87.5,100.0,76.52,0.000448,0.9140999999999999,0.9484999999999999,0.9148999999999999,0.9847,0.8049,kalman_dual
58,0.000349,89.12,93.03,88.4,98.17,80.81,0.000224,93.29,95.79,92.31,99.54,86.13,0.000112,0.9645999999999999,0.9784999999999999,0.9579000000000001,1.0,0.9091,kalman_dual
60,0.000301,91.07,94.25,90.72,98.06,84.29,0.000333,92.93,95.54,92.64,98.62,86.43,0.00169,0.7746,0.8332999999999999,0.7547,0.9301999999999999,0.733,kalman_dual
61,0.000295,91.22,94.35,90.38,98.68,84.17,0.000229,93.29,95.79,92.31,99.54,86.13,0.001497,0.75,0.85,0.75,0.9808,0.5654,kalman_dual
62,0.000322,90.53,93.82,90.06,97.92,83.99,0.000264,93.64,95.98,93.07,99.08,87.42,0.000604,0.9366,0.9627,0.9915,0.9355,0.94,kalman_dual
63,0.000325,89.94,93.5,89.25,98.18,82.52,0.000168,95.41,97.09,94.35,100.0,90.15,0.00043,0.9340999999999999,0.9594,0.9701000000000001,0.9489,0.9078,kalman_dual
